team_initials,team_city,year,head_coach,offensive_coordinator,defensive_coordinator
ARI,Arizona,2014,Bruce Arians,Harold Goodwin,Todd Bowles
ARI,Arizona,2013,Bruce Arians,Harold Goodwin,Todd Bowles
ARI,Arizona,2012,Ken Whisenhunt,Mike Miller,Ray Horton
ARI,Arizona,2011,Ken Whisenhunt,Mike Miller,Ray Horton
ARI,Arizona,2010,Ken Whisenhunt,,Bill Davis
ARI,Arizona,2009,Ken Whisenhunt,,Bill Davis
ARI,Arizona,2008,Ken Whisenhunt,Todd Haley,Clancy Pendergast
ARI,Arizona,2007,Ken Whisenhunt,Todd Haley,Clancy Pendergast
ARI,Arizona,2006,Dennis Green,Mike Kruczek,Clancy Pendergast
ARI,Arizona,2006,Dennis Green,Keith Rowen,Clancy Pendergast
ARI,Arizona,2005,Dennis Green,Keith Rowen,Clancy Pendergast
ARI,Arizona,2004,Dennis Green,Alex Wood,Clancy Pendergast
ARI,Arizona,2003,Dave McGinnis,Jerry Sullivan,Larry Marmie
ARI,Arizona,2002,Dave McGinnis,Rich Olson,Larry Marmie
ARI,Arizona,2001,Dave McGinnis,Rich Olson,Larry Marmie
ARI,Arizona,2000,Dave McGinnis,Marc Trestman,Larry Marmie
ATL,Atlanta,2014,Mike Smith,Dirk Koetter,Mike Nolan
ATL,Atlanta,2013,Mike Smith,Dirk Koetter,Mike Nolan
ATL,Atlanta,2012,Mike Smith,Dirk Koetter,Mike Nolan
ATL,Atlanta,2011,Mike Smith,Mike Mularkey,Brian VanGorder
ATL,Atlanta,2010,Mike Smith,Mike Mularkey,Brian VanGorder
ATL,Atlanta,2009,Mike Smith,Mike Mularkey,Brian VanGorder
ATL,Atlanta,2008,Mike Smith,Mike Mularkey,Brian VanGorder
ATL,Atlanta,2007,Bobby Petrino,Hue Jackson,Mike Zimmer
ATL,Atlanta,2007,Emmitt Thomas,Hue Jackson,Mike Zimmer
ATL,Atlanta,2006,Jim Mora,Greg Knapp,Ed Donatell
ATL,Atlanta,2005,Jim Mora,Greg Knapp,Ed Donatell
ATL,Atlanta,2004,Jim Mora,Greg Knapp,Ed Donatell
ATL,Atlanta,2003,Wade Phillips,Pete Mangurian,Wade Phillips
ATL,Atlanta,2003,Dan Reeves,Pete Mangurian,Wade Phillips
ATL,Atlanta,2002,Dan Reeves,,Wade Phillips
ATL,Atlanta,2001,Dan Reeves,George Sefcik,Don Blackmon
ATL,Atlanta,2000,Dan Reeves,George Sefcik,Rich Brooks
BAL,Baltimore,2014,John Harbaugh,Gary Kubiak,Dean Pees
BAL,Baltimore,2013,John Harbaugh,Jim Caldwell,Dean Pees
BAL,Baltimore,2012,John Harbaugh,Jim Caldwell,Dean Pees
BAL,Baltimore,2012,John Harbaugh,Cam Cameron,Dean Pees
BAL,Baltimore,2011,John Harbaugh,Cam Cameron,Chuck Pagano
BAL,Baltimore,2010,John Harbaugh,Cam Cameron,Greg Mattison
BAL,Baltimore,2009,John Harbaugh,Cam Cameron,Greg Mattison
BAL,Baltimore,2008,John Harbaugh,Cam Cameron,Rex Ryan
BAL,Baltimore,2007,Brian Billick,Rick Neuheisel,Rex Ryan
BAL,Baltimore,2006,Brian Billick,Jim Fassel,Rex Ryan
BAL,Baltimore,2005,Brian Billick,Jim Fassel,Rex Ryan
BAL,Baltimore,2004,Brian Billick,Matt Cavanaugh,Mike Nolan
BAL,Baltimore,2003,Brian Billick,Matt Cavanaugh,Mike Nolan
BAL,Baltimore,2002,Brian Billick,Matt Cavanaugh,Mike Nolan
